site_id,stream_name,utm_zone,easting,northing,target,lab_ids,source,control_blank_field,control_blank_office,control_species_present_field,n_runs,n_sheets,retested,max_pos,max_conc,any_clean,any_crude
125000_ds_ed1,Tributary To Parsnip River,10,577462,6038232,BULT,M41347,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125000_ds_ed1,Tributary To Parsnip River,10,577462,6038232,GRAY,M41347,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125000_ds_ed1,Tributary To Parsnip River,10,577462,6038232,RAIN,M41347,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,980,67.5209350585938,TRUE,TRUE
125000_ds_ed1,Tributary To Parsnip River,10,577462,6038232,SOCK,M41347,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125000_ds_ed1a,NA,10,577431,6038230,BULT,M21241,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125000_ds_ed1a,NA,10,577431,6038230,RAIN,M21241,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,FALSE,4,2,TRUE,1,0.065899483859539,FALSE,TRUE
125000_us_ed1,Tributary To Parsnip River,10,577546,6038200,BULT,M41348,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125000_us_ed1,Tributary To Parsnip River,10,577546,6038200,GRAY,M41348,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125000_us_ed1,Tributary To Parsnip River,10,577546,6038200,RAIN,M41348,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,143,9.26793384552002,TRUE,TRUE
125000_us_ed1,Tributary To Parsnip River,10,577546,6038200,SOCK,M41348,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125179_ds_ed1a,Tributary To Missinka River,10,570276,6052824,BULT,M41349,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,4,2,TRUE,1,0.0681755021214485,FALSE,TRUE
125179_ds_ed1a,Tributary To Missinka River,10,570276,6052824,GRAY,M41349,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125179_ds_ed1a,Tributary To Missinka River,10,570276,6052824,RAIN,M41349,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,309,20.7115116119385,TRUE,TRUE
125179_ds_ed1a,Tributary To Missinka River,10,570276,6052824,SOCK,M41349,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
